PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,FP
Nassir Little,PHX,PHX @ LAL,10/26/2023,L,13,2,0,2,0,0,2,0,2,2,100,0,2,2,0,1,1,1,0,-9,9.4
Drew Eubanks,PHX,PHX @ LAL,10/26/2023,L,17,2,1,2,50,0,0,-,0,0,-,1,3,4,2,0,0,2,3,-1,7.8
Yuta Watanabe,PHX,PHX @ LAL,10/26/2023,L,15,3,1,2,50,1,1,100,0,0,-,0,1,1,0,0,0,1,2,-16,3.2
Josh Okogie,PHX,PHX @ LAL,10/26/2023,L,33,10,3,5,60,2,4,50,2,2,100,4,4,8,3,0,1,1,2,5,26.1
Grayson Allen,PHX,PHX @ LAL,10/26/2023,L,35,6,2,6,33.3,2,4,50,0,0,-,1,5,6,4,0,0,0,3,0,19.2
Clint Capela,ATL,ATL vs. NYK,10/27/2023,L,28,13,6,12,50,0,0,-,1,2,50,6,7,13,2,0,1,1,3,-9,33.6
Dejounte Murray,ATL,ATL vs. NYK,10/27/2023,L,35,18,8,17,47.1,0,3,0,2,3,66.7,2,5,7,6,1,1,1,1,-6,40.4
De'Andre Hunter,ATL,ATL vs. NYK,10/27/2023,L,32,27,8,13,61.5,3,7,42.9,8,8,100,0,6,6,1,0,1,0,3,-1,38.7
AJ Griffin,ATL,ATL vs. NYK,10/27/2023,L,8,6,2,4,50,2,4,50,0,0,-,0,2,2,0,0,0,0,0,-4,8.4
Bogdan Bogdanovic,ATL,ATL vs. NYK,10/27/2023,L,26,16,6,11,54.5,4,9,44.4,0,0,-,0,1,1,3,1,0,2,3,0,22.7
Onyeka Okongwu,ATL,ATL vs. NYK,10/27/2023,L,20,6,1,2,50,0,0,-,4,4,100,0,2,2,1,1,1,0,4,2,15.9
Trae Young,ATL,ATL vs. NYK,10/27/2023,L,35,18,4,16,25,2,5,40,8,10,80,1,2,3,12,3,0,6,2,-5,42.6
Saddiq Bey,ATL,ATL vs. NYK,10/27/2023,L,26,5,2,4,50,1,2,50,0,0,-,0,1,1,1,0,1,1,2,-6,9.7
Jalen Johnson,ATL,ATL vs. NYK,10/27/2023,L,30,11,5,8,62.5,0,2,0,1,3,33.3,0,9,9,2,1,1,3,2,-1,27.8
Cam Thomas,BKN,BKN @ DAL,10/27/2023,L,33,30,12,19,63.2,1,4,25,5,5,100,0,7,7,2,1,1,0,2,3,47.4
Spencer Dinwiddie,BKN,BKN @ DAL,10/27/2023,L,40,23,8,17,47.1,6,12,50,1,2,50,0,3,3,8,0,0,2,4,4,36.6
Royce O'Neale,BKN,BKN @ DAL,10/27/2023,L,34,11,4,9,44.4,3,7,42.9,0,0,-,2,8,10,3,1,0,3,4,-11,27.5
Ben Simmons,BKN,BKN @ DAL,10/27/2023,L,32,10,5,8,62.5,0,0,-,0,0,-,4,6,10,8,2,2,2,3,0,44
Dorian Finney-Smith,BKN,BKN @ DAL,10/27/2023,L,32,12,4,8,50,4,7,57.1,0,0,-,1,6,7,3,0,0,2,5,-15,22.9
Dennis Smith Jr.,BKN,BKN @ DAL,10/27/2023,L,8,0,0,3,0,0,0,-,0,0,-,0,1,1,1,0,0,1,4,-7,1.7
Mikal Bridges,BKN,BKN @ DAL,10/27/2023,L,35,18,6,17,35.3,3,7,42.9,3,3,100,1,3,4,3,0,0,1,2,-12,26.3
Lonnie Walker IV,BKN,BKN @ DAL,10/27/2023,L,21,14,5,9,55.6,4,6,66.7,0,0,-,0,1,1,2,0,1,2,3,8,19.2
Day'Ron Sharpe,BKN,BKN @ DAL,10/27/2023,L,3,2,1,2,50,0,0,-,0,0,-,2,2,4,0,1,0,2,1,5,7.8
Derrick White,BOS,BOS vs. MIA,10/27/2023,W,36,28,9,15,60,5,7,71.4,5,6,83.3,3,3,6,3,1,3,2,1,4,49.7
