PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,FP
Sam Hauser,BOS,BOS @ WAS,10/30/2023,W,25,8,3,10,30,2,9,22.2,0,0,-,3,5,8,1,0,1,1,3,-10,21.1
Dalano Banton,BOS,BOS @ WAS,10/30/2023,W,10,2,1,3,33.3,0,1,0,0,0,-,2,0,2,1,0,0,1,1,-17,4.9
Luke Kornet,BOS,BOS @ WAS,10/30/2023,W,11,0,0,0,-,0,0,-,0,0,-,0,1,1,1,0,0,1,1,-11,1.7
LaMelo Ball,CHA,CHA vs. BKN,10/30/2023,L,22,8,3,12,25,0,6,0,2,2,100,0,3,3,8,2,0,3,6,-3,26.6
JT Thor,CHA,CHA vs. BKN,10/30/2023,L,19,7,3,6,50,1,4,25,0,0,-,0,2,2,3,0,0,1,1,-1,12.9
Brandon Miller,CHA,CHA vs. BKN,10/30/2023,L,36,22,7,16,43.8,2,5,40,6,6,100,4,5,9,2,0,1,0,3,-4,38.8
Theo Maledon,CHA,CHA vs. BKN,10/30/2023,L,20,9,2,9,22.2,0,5,0,5,5,100,0,1,1,2,2,0,0,0,-3,19.2
Gordon Hayward,CHA,CHA vs. BKN,10/30/2023,L,31,15,6,11,54.5,2,2,100,1,1,100,0,0,0,5,2,1,0,4,-8,31.5
Terry Rozier,CHA,CHA vs. BKN,10/30/2023,L,41,23,10,19,52.6,2,6,33.3,1,1,100,0,3,3,9,1,1,2,2,-13,44.1
P.J. Washington,CHA,CHA vs. BKN,10/30/2023,L,35,15,7,14,50,1,3,33.3,0,1,0,3,9,12,2,0,0,1,4,-14,31.4
Nick Richards,CHA,CHA vs. BKN,10/30/2023,L,13,4,1,1,100,0,0,-,2,2,100,0,2,2,1,1,2,1,2,-7,15.9
Mark Williams,CHA,CHA vs. BKN,10/30/2023,L,23,18,8,8,100,0,0,-,2,2,100,1,6,7,1,0,0,1,1,-7,26.9
Jevon Carter,CHI,CHI @ IND,10/30/2023,W,18,11,5,7,71.4,1,1,100,0,0,-,0,1,1,2,1,1,3,1,4,18.2
Torrey Craig,CHI,CHI @ IND,10/30/2023,W,20,5,2,3,66.7,1,1,100,0,0,-,1,3,4,1,2,1,2,3,5,18.3
Alex Caruso,CHI,CHI @ IND,10/30/2023,W,26,8,3,5,60,1,2,50,1,2,50,1,3,4,3,0,1,3,1,6,17.3
Andre Drummond,CHI,CHI @ IND,10/30/2023,W,14,5,2,4,50,0,0,-,1,2,50,2,1,3,2,1,0,1,0,7,13.6
DeMar DeRozan,CHI,CHI @ IND,10/30/2023,W,35,20,6,19,31.6,0,1,0,8,8,100,1,2,3,4,0,1,0,2,15,32.6
Ayo Dosunmu,CHI,CHI @ IND,10/30/2023,W,10,0,0,1,0,0,1,0,0,0,-,0,1,1,0,1,1,0,2,-2,7.2
Patrick Williams,CHI,CHI @ IND,10/30/2023,W,22,9,3,6,50,1,2,50,2,2,100,0,4,4,0,1,1,1,0,-7,18.8
Coby White,CHI,CHI @ IND,10/30/2023,W,25,7,3,6,50,1,2,50,0,0,-,0,2,2,3,1,0,1,4,5,15.9
Zach LaVine,CHI,CHI @ IND,10/30/2023,W,36,23,6,17,35.3,1,6,16.7,10,11,90.9,0,5,5,1,0,0,1,1,2,29.5
Nikola Vucevic,CHI,CHI @ IND,10/30/2023,W,34,24,10,19,52.6,0,1,0,4,6,66.7,5,12,17,3,1,0,1,3,0,50.9
Josh Green,DAL,DAL @ MEM,10/30/2023,W,34,12,5,10,50,2,4,50,0,0,-,1,1,2,3,1,0,1,0,4,20.9
Luka Doncic,DAL,DAL @ MEM,10/30/2023,W,40,35,11,22,50,6,12,50,7,10,70,0,12,12,12,1,1,6,4,6,67.4
Maxi Kleber,DAL,DAL @ MEM,10/30/2023,W,22,7,2,4,50,1,3,33.3,2,2,100,1,4,5,2,1,0,2,2,7,17
Seth Curry,DAL,DAL @ MEM,10/30/2023,W,15,3,1,5,20,1,3,33.3,0,0,-,0,2,2,2,1,1,1,2,14,13.4
Tim Hardaway Jr.,DAL,DAL @ MEM,10/30/2023,W,29,21,8,14,57.1,3,7,42.9,2,2,100,0,5,5,0,0,0,1,1,6,26
Dereck Lively II,DAL,DAL @ MEM,10/30/2023,W,14,2,1,2,50,0,0,-,0,0,-,1,5,6,0,0,1,0,5,-2,12.2
Jaden Hardy,DAL,DAL @ MEM,10/30/2023,W,10,6,2,6,33.3,2,4,50,0,0,-,0,0,0,1,0,0,1,1,-7,6.5
Grant Williams,DAL,DAL @ MEM,10/30/2023,W,31,15,4,8,50,4,8,50,3,4,75,1,2,3,2,0,0,1,1,18,20.6
Derrick Jones Jr.,DAL,DAL @ MEM,10/30/2023,W,27,22,7,10,70,4,6,66.7,4,6,66.7,0,4,4,0,0,0,1,0,12,25.8
Dante Exum,DAL,DAL @ MEM,10/30/2023,W,6,2,1,3,33.3,0,0,-,0,0,-,0,4,4,2,0,0,0,0,7,9.8
Dwight Powell,DAL,DAL @ MEM,10/30/2023,W,12,0,0,0,-,0,0,-,0,0,-,2,3,5,0,0,4,1,1,10,17
Aaron Gordon,DEN,DEN vs. UTA,10/30/2023,W,33,21,10,12,83.3,0,0,-,1,4,25,3,4,7,2,0,0,3,2,8,29.4
Nikola Jokic,DEN,DEN vs. UTA,10/30/2023,W,35,27,12,16,75,1,3,33.3,2,5,40,1,9,10,11,0,2,1,3,13,60.5
Michael Porter Jr.,DEN,DEN vs. UTA,10/30/2023,W,19,8,3,8,37.5,2,6,33.3,0,0,-,0,1,1,2,0,1,1,3,2,14.2
Julian Strawther,DEN,DEN vs. UTA,10/30/2023,W,6,4,2,4,50,0,2,0,0,0,-,0,2,2,0,0,0,0,0,1,6.4
Reggie Jackson,DEN,DEN vs. UTA,10/30/2023,W,19,4,2,6,33.3,0,3,0,0,1,0,1,3,4,1,0,0,1,2,9,9.3
Jamal Murray,DEN,DEN vs. UTA,10/30/2023,W,37,18,7,19,36.8,3,7,42.9,1,2,50,0,3,3,14,0,2,3,0,-5,45.6
Zeke Nnaji,DEN,DEN vs. UTA,10/30/2023,W,13,6,2,2,100,0,0,-,2,3,66.7,1,2,3,0,2,0,0,0,-5,15.6
Christian Braun,DEN,DEN vs. UTA,10/30/2023,W,30,9,4,8,50,1,2,50,0,0,-,1,7,8,2,1,0,1,0,6,23.6
Peyton Watson,DEN,DEN vs. UTA,10/30/2023,W,15,5,2,4,50,0,1,0,1,2,50,0,2,2,0,0,1,0,0,0,10.4
Kentavious Caldwell-Pope,DEN,DEN vs. UTA,10/30/2023,W,33,8,3,5,60,2,4,50,0,0,-,0,3,3,0,1,2,2,4,11,18.6
Jaden Ivey,DET,DET @ OKC,10/30/2023,L,19,20,7,13,53.8,4,6,66.7,2,2,100,1,1,2,3,1,1,1,5,-4,31.9
Joe Harris,DET,DET @ OKC,10/30/2023,L,10,0,0,1,0,0,0,-,0,0,-,0,0,0,1,0,0,1,2,-5,0.5
Isaiah Stewart,DET,DET @ OKC,10/30/2023,L,31,12,4,9,44.4,2,3,66.7,2,2,100,0,7,7,1,0,0,2,2,-7,19.9
Cade Cunningham,DET,DET @ OKC,10/30/2023,L,35,17,5,15,33.3,3,7,42.9,4,5,80,0,2,2,5,0,0,7,1,-14,19.9
Stanley Umude,DET,DET @ OKC,10/30/2023,L,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,1,0,0,0,8,3
Jalen Duren,DET,DET @ OKC,10/30/2023,L,23,8,4,11,36.4,0,0,-,0,1,0,3,4,7,1,1,0,1,3,-8,19.9
Jared Rhoden,DET,DET @ OKC,10/30/2023,L,2,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,0,8,1.2
Ausar Thompson,DET,DET @ OKC,10/30/2023,L,31,15,6,14,42.9,0,2,0,3,4,75,7,3,10,3,1,3,3,4,-13,40.5
Alec Burks,DET,DET @ OKC,10/30/2023,L,21,11,4,9,44.4,3,4,75,0,0,-,1,1,2,7,0,0,0,3,-9,23.9
Marvin Bagley III,DET,DET @ OKC,10/30/2023,L,24,13,3,4,75,0,0,-,7,8,87.5,1,3,4,1,0,0,0,1,0,19.3
Killian Hayes,DET,DET @ OKC,10/30/2023,L,27,10,4,11,36.4,1,4,25,1,2,50,0,4,4,7,1,1,1,3,-15,30.3
Marcus Sasser,DET,DET @ OKC,10/30/2023,L,14,6,2,4,50,2,2,100,0,0,-,0,2,2,2,1,0,0,1,-1,14.4
Cory Joseph,GSW,GSW @ NOP,10/30/2023,W,5,0,0,1,0,0,1,0,0,0,-,0,1,1,1,0,0,0,2,0,2.7
Stephen Curry,GSW,GSW @ NOP,10/30/2023,W,30,42,15,22,68.2,7,13,53.8,5,7,71.4,0,5,5,5,2,0,3,1,13,58.5
Draymond Green,GSW,GSW @ NOP,10/30/2023,W,22,6,3,8,37.5,0,2,0,0,0,-,1,5,6,7,0,1,1,2,6,25.7
Brandin Podziemski,GSW,GSW @ NOP,10/30/2023,W,23,5,2,5,40,0,1,0,1,2,50,1,7,8,2,0,0,2,4,15,15.6
Chris Paul,GSW,GSW @ NOP,10/30/2023,W,25,13,6,10,60,1,5,20,0,0,-,0,6,6,5,2,0,1,0,17,32.7
Dario Saric,GSW,GSW @ NOP,10/30/2023,W,21,6,2,7,28.6,1,4,25,1,2,50,4,6,10,2,0,1,0,2,14,24
Lester Quinones,GSW,GSW @ NOP,10/30/2023,W,5,5,2,3,66.7,1,2,50,0,0,-,0,0,0,0,0,0,1,0,0,4
Jerome Robinson,GSW,GSW @ NOP,10/30/2023,W,5,0,0,2,0,0,0,-,0,0,-,1,1,2,0,0,0,0,0,0,2.4
Trayce Jackson-Davis,GSW,GSW @ NOP,10/30/2023,W,20,13,5,9,55.6,0,0,-,3,4,75,7,2,9,0,0,4,2,2,11,33.8
Moses Moody,GSW,GSW @ NOP,10/30/2023,W,21,13,5,8,62.5,2,5,40,1,1,100,2,1,3,4,0,0,0,0,18,22.6
Andrew Wiggins,GSW,GSW @ NOP,10/30/2023,W,20,9,4,8,50,1,2,50,0,2,0,1,2,3,0,0,0,3,2,10,9.6
Kevon Looney,GSW,GSW @ NOP,10/30/2023,W,25,8,3,5,60,0,0,-,2,2,100,2,5,7,1,1,0,1,2,19,19.9
Gary Payton II,GSW,GSW @ NOP,10/30/2023,W,20,10,4,10,40,2,6,33.3,0,0,-,2,2,4,1,1,1,0,4,17,22.3
Jalen Smith,IND,IND vs. CHI,10/30/2023,L,16,8,4,7,57.1,0,2,0,0,0,-,0,2,2,0,1,1,1,3,2,15.4
Aaron Nesmith,IND,IND vs. CHI,10/30/2023,L,27,5,1,4,25,1,4,25,2,2,100,0,4,4,3,0,2,0,6,-15,20.3
Andrew Nembhard,IND,IND vs. CHI,10/30/2023,L,21,6,3,7,42.9,0,4,0,0,0,-,0,1,1,2,2,0,4,4,-2,12.2
Bruce Brown,IND,IND vs. CHI,10/30/2023,L,37,15,6,12,50,3,6,50,0,0,-,2,5,7,1,1,0,3,2,-13,24.9
Buddy Hield,IND,IND vs. CHI,10/30/2023,L,19,11,4,12,33.3,3,8,37.5,0,0,-,3,2,5,4,0,0,2,0,-2,21
Bennedict Mathurin,IND,IND vs. CHI,10/30/2023,L,28,15,4,11,36.4,1,4,25,6,6,100,1,3,4,0,0,0,2,5,-7,17.8
Tyrese Haliburton,IND,IND vs. CHI,10/30/2023,L,36,19,6,16,37.5,1,8,12.5,6,7,85.7,1,4,5,13,2,0,4,1,2,46.5
Obi Toppin,IND,IND vs. CHI,10/30/2023,L,24,6,2,5,40,0,2,0,2,2,100,2,6,8,0,1,0,0,1,9,18.6
Myles Turner,IND,IND vs. CHI,10/30/2023,L,32,20,6,14,42.9,3,8,37.5,5,8,62.5,2,9,11,3,0,2,1,2,-9,42.7
Cam Reddish,LAL,LAL vs. ORL,10/30/2023,W,14,0,0,1,0,0,1,0,0,0,-,0,2,2,2,1,0,1,0,-3,7.4
Jaxson Hayes,LAL,LAL vs. ORL,10/30/2023,W,10,0,0,0,-,0,0,-,0,0,-,0,2,2,0,0,0,0,2,5,2.4
Gabe Vincent,LAL,LAL vs. ORL,10/30/2023,W,25,9,4,7,57.1,1,3,33.3,0,0,-,0,0,0,2,1,0,0,2,10,15
Austin Reaves,LAL,LAL vs. ORL,10/30/2023,W,31,11,5,12,41.7,1,4,25,0,0,-,0,3,3,3,0,1,3,0,-14,19.1
Anthony Davis,LAL,LAL vs. ORL,10/30/2023,W,38,26,12,18,66.7,0,1,0,2,3,66.7,2,17,19,5,1,3,1,3,-2,67.3
Taurean Prince,LAL,LAL vs. ORL,10/30/2023,W,26,4,1,4,25,0,2,0,2,2,100,0,0,0,1,0,1,0,3,-5,8.5
D'Angelo Russell,LAL,LAL vs. ORL,10/30/2023,W,36,28,10,14,71.4,3,6,50,5,5,100,0,2,2,8,1,1,3,4,7,45.4
LeBron James,LAL,LAL vs. ORL,10/30/2023,W,33,19,7,17,41.2,2,6,33.3,3,4,75,0,3,3,4,3,1,5,0,5,35.6
Christian Wood,LAL,LAL vs. ORL,10/30/2023,W,26,9,3,6,50,1,4,25,2,4,50,1,8,9,3,0,3,3,3,12,30.3
David Roddy,MEM,MEM vs. DAL,10/30/2023,L,29,9,4,8,50,0,1,0,1,2,50,1,4,5,2,0,1,0,2,-2,21
Ziaire Williams,MEM,MEM vs. DAL,10/30/2023,L,33,8,3,8,37.5,2,4,50,0,0,-,1,6,7,2,1,0,3,2,-21,19.4
Desmond Bane,MEM,MEM vs. DAL,10/30/2023,L,37,30,12,17,70.6,3,7,42.9,3,4,75,2,4,6,3,3,0,2,3,0,48.7
Xavier Tillman,MEM,MEM vs. DAL,10/30/2023,L,29,6,3,14,21.4,0,5,0,0,3,0,2,5,7,1,2,1,0,0,4,24.9
Derrick Rose,MEM,MEM vs. DAL,10/30/2023,L,14,1,0,4,0,0,1,0,1,2,50,0,1,1,0,0,0,0,1,-18,2.2
Marcus Smart,MEM,MEM vs. DAL,10/30/2023,L,35,23,9,17,52.9,5,10,50,0,0,-,1,4,5,9,3,0,6,6,-1,45.5
GG Jackson,MEM,MEM vs. DAL,10/30/2023,L,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0
Jacob Gilyard,MEM,MEM vs. DAL,10/30/2023,L,1,0,0,1,0,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0
Kenneth Lofton Jr.,MEM,MEM vs. DAL,10/30/2023,L,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0
Vince Williams Jr.,MEM,MEM vs. DAL,10/30/2023,L,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0
Jake LaRavia,MEM,MEM vs. DAL,10/30/2023,L,6,0,0,1,0,0,1,0,0,0,-,0,0,0,0,0,0,0,3,-9,0
John Konchar,MEM,MEM vs. DAL,10/30/2023,L,19,3,1,2,50,1,2,50,0,0,-,1,3,4,1,0,0,0,2,-3,9.3
Jaren Jackson Jr.,MEM,MEM vs. DAL,10/30/2023,L,34,30,10,20,50,3,6,50,7,9,77.8,2,7,9,4,0,2,1,3,-25,51.8
Kyle Lowry,MIA,MIA @ MIL,10/30/2023,L,28,8,3,6,50,2,5,40,0,0,-,0,4,4,4,2,0,2,4,-11,22.8
Kevin Love,MIA,MIA @ MIL,10/30/2023,L,18,3,1,6,16.7,1,5,20,0,0,-,0,5,5,3,0,0,2,1,-10,11.5
Jimmy Butler,MIA,MIA @ MIL,10/30/2023,L,29,13,4,11,36.4,1,2,50,4,4,100,2,2,4,4,0,1,1,0,-13,25.8
Thomas Bryant,MIA,MIA @ MIL,10/30/2023,L,22,10,4,7,57.1,0,1,0,2,2,100,0,2,2,0,2,0,1,0,-12,17.4
Nikola Jovic,MIA,MIA @ MIL,10/30/2023,L,7,5,1,2,50,1,1,100,2,2,100,0,4,4,0,0,0,2,0,9,7.8
Josh Richardson,MIA,MIA @ MIL,10/30/2023,L,23,6,3,7,42.9,0,2,0,0,0,-,0,3,3,2,0,0,0,3,4,12.6
Duncan Robinson,MIA,MIA @ MIL,10/30/2023,L,22,15,6,10,60,3,7,42.9,0,0,-,1,0,1,1,0,0,0,5,-1,17.7
Tyler Herro,MIA,MIA @ MIL,10/30/2023,L,42,35,12,21,57.1,2,5,40,9,10,90,1,7,8,3,1,0,3,1,-3,49.1
Orlando Robinson,MIA,MIA @ MIL,10/30/2023,L,26,11,4,7,57.1,1,1,100,2,2,100,2,5,7,7,1,0,3,4,4,29.9
Jaime Jaquez Jr.,MIA,MIA @ MIL,10/30/2023,L,23,8,3,9,33.3,2,5,40,0,0,-,1,1,2,3,1,1,0,2,-7,20.9
Brook Lopez,MIL,MIL vs. MIA,10/30/2023,W,29,11,5,9,55.6,1,4,25,0,0,-,3,4,7,3,1,1,2,3,-10,27.9
Damian Lillard,MIL,MIL vs. MIA,10/30/2023,W,35,25,7,14,50,2,7,28.6,9,11,81.8,1,4,5,4,1,0,4,2,2,36
Jae Crowder,MIL,MIL vs. MIA,10/30/2023,W,25,8,3,7,42.9,2,3,66.7,0,0,-,1,4,5,2,1,1,1,2,-11,22
Khris Middleton,MIL,MIL vs. MIA,10/30/2023,W,17,5,1,4,25,0,2,0,3,4,75,0,2,2,5,1,0,1,2,14,16.9
Malik Beasley,MIL,MIL vs. MIA,10/30/2023,W,32,5,2,8,25,1,6,16.7,0,2,0,0,3,3,2,2,0,2,3,-10,15.6
Giannis Antetokounmpo,MIL,MIL vs. MIA,10/30/2023,W,32,33,12,21,57.1,1,3,33.3,8,11,72.7,1,6,7,2,0,1,2,3,18,45.4
Cameron Payne,MIL,MIL vs. MIA,10/30/2023,W,13,11,4,5,80,3,4,75,0,0,-,1,0,1,0,0,0,1,0,6,11.2
Bobby Portis,MIL,MIL vs. MIA,10/30/2023,W,19,16,7,10,70,0,2,0,2,2,100,2,6,8,2,2,1,0,3,18,37.6
Pat Connaughton,MIL,MIL vs. MIA,10/30/2023,W,23,8,3,5,60,2,3,66.7,0,0,-,0,5,5,2,0,1,1,2,5,19
AJ Green,MIL,MIL vs. MIA,10/30/2023,W,15,0,0,4,0,0,3,0,0,0,-,0,0,0,2,0,0,0,3,8,3
Kyle Anderson,MIN,MIN @ ATL,10/30/2023,L,25,4,2,5,40,0,2,0,0,0,-,1,1,2,5,2,1,2,1,-8,20.9
Anthony Edwards,MIN,MIN @ ATL,10/30/2023,L,38,31,13,21,61.9,5,8,62.5,0,1,0,0,5,5,7,1,0,5,4,-9,45.5
Karl-Anthony Towns,MIN,MIN @ ATL,10/30/2023,L,36,16,7,17,41.2,1,3,33.3,1,1,100,2,8,10,3,1,0,0,2,-8,35.5
Jaden McDaniels,MIN,MIN @ ATL,10/30/2023,L,24,12,5,6,83.3,2,2,100,0,0,-,0,3,3,2,0,1,0,2,-8,21.6
Naz Reid,MIN,MIN @ ATL,10/30/2023,L,24,13,5,12,41.7,3,7,42.9,0,0,-,0,1,1,0,0,0,1,1,-21,13.2
Shake Milton,MIN,MIN @ ATL,10/30/2023,L,17,10,4,8,50,2,2,100,0,0,-,0,1,1,1,0,0,1,1,2,11.7
Rudy Gobert,MIN,MIN @ ATL,10/30/2023,L,31,14,3,7,42.9,0,0,-,8,11,72.7,6,7,13,1,1,2,0,2,-13,40.1
Mike Conley,MIN,MIN @ ATL,10/30/2023,L,28,6,2,9,22.2,2,6,33.3,0,0,-,1,1,2,3,0,0,0,3,-12,12.9
Josh Minott,MIN,MIN @ ATL,10/30/2023,L,1,2,1,1,100,0,0,-,0,0,-,0,0,0,0,0,0,0,0,4,2
Luka Garza,MIN,MIN @ ATL,10/30/2023,L,1,2,1,1,100,0,0,-,0,0,-,0,1,1,0,0,0,0,0,4,3.2
Daishen Nix,MIN,MIN @ ATL,10/30/2023,L,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,4,0
Nickeil Alexander-Walker,MIN,MIN @ ATL,10/30/2023,L,13,3,1,3,33.3,1,3,33.3,0,2,0,0,0,0,2,0,0,1,1,-9,5
Jordan McLaughlin,MIN,MIN @ ATL,10/30/2023,L,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,1,0,0,4,3
CJ McCollum,NOP,NOP vs. GSW,10/30/2023,L,33,19,7,21,33.3,2,8,25,3,4,75,2,4,6,5,1,0,0,1,-19,36.7
Dyson Daniels,NOP,NOP vs. GSW,10/30/2023,L,24,7,3,5,60,1,2,50,0,0,-,0,4,4,3,0,0,0,1,-13,16.3
Jordan Hawkins,NOP,NOP vs. GSW,10/30/2023,L,35,14,6,13,46.2,2,7,28.6,0,2,0,2,3,5,2,2,0,1,1,-14,28
Jonas Valanciunas,NOP,NOP vs. GSW,10/30/2023,L,23,11,4,11,36.4,1,5,20,2,2,100,2,4,6,3,0,2,0,1,-17,28.7
Kira Lewis Jr.,NOP,NOP vs. GSW,10/30/2023,L,16,11,4,6,66.7,0,2,0,3,4,75,1,0,1,2,0,0,0,1,-13,15.2
Herbert Jones,NOP,NOP vs. GSW,10/30/2023,L,22,4,1,5,20,0,4,0,2,2,100,0,2,2,1,2,1,0,4,-22,16.9
Matt Ryan,NOP,NOP vs. GSW,10/30/2023,L,27,12,4,9,44.4,3,7,42.9,1,1,100,1,1,2,2,1,0,2,2,-17,18.4
Zion Williamson,NOP,NOP vs. GSW,10/30/2023,L,30,19,7,15,46.7,0,1,0,5,9,55.6,3,2,5,3,2,0,5,5,-17,30.5
Kaiser Gates,NOP,NOP vs. GSW,10/30/2023,L,7,0,0,4,0,0,2,0,0,0,-,0,1,1,0,0,0,0,0,-2,1.2
Cody Zeller,NOP,NOP vs. GSW,10/30/2023,L,5,0,0,2,0,0,0,-,0,2,0,1,1,2,0,0,0,0,0,0,2.4
Larry Nance Jr.,NOP,NOP vs. GSW,10/30/2023,L,17,5,2,2,100,1,1,100,0,0,-,2,3,5,2,0,0,3,2,-6,11
Davis Bertans,OKC,OKC vs. DET,10/30/2023,W,13,6,1,2,50,1,2,50,3,3,100,0,1,1,0,0,0,0,1,8,7.2
Shai Gilgeous-Alexander,OKC,OKC vs. DET,10/30/2023,W,33,32,11,23,47.8,1,3,33.3,9,9,100,1,8,9,4,3,0,5,2,17,52.8
Luguentz Dort,OKC,OKC vs. DET,10/30/2023,W,26,7,3,7,42.9,1,4,25,0,0,-,0,2,2,0,2,1,0,1,12,18.4
Aleksej Pokusevski,OKC,OKC vs. DET,10/30/2023,W,2,0,0,2,0,0,2,0,0,0,-,0,0,0,0,0,0,1,2,-8,-1
Isaiah Joe,OKC,OKC vs. DET,10/30/2023,W,20,9,3,6,50,3,5,60,0,0,-,0,0,0,0,0,0,1,1,2,8
Tre Mann,OKC,OKC vs. DET,10/30/2023,W,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-8,0
Chet Holmgren,OKC,OKC vs. DET,10/30/2023,W,24,14,4,5,80,4,5,80,2,2,100,0,4,4,3,2,4,3,5,9,38.3
Ousmane Dieng,OKC,OKC vs. DET,10/30/2023,W,18,10,4,4,100,2,2,100,0,1,0,1,0,1,2,0,0,1,0,-2,13.2
Josh Giddey,OKC,OKC vs. DET,10/30/2023,W,28,21,9,18,50,0,2,0,3,5,60,3,4,7,3,1,1,1,1,10,38.9
Olivier Sarr,OKC,OKC vs. DET,10/30/2023,W,21,2,0,0,-,0,0,-,2,4,50,1,8,9,1,0,3,0,2,9,23.3
Cason Wallace,OKC,OKC vs. DET,10/30/2023,W,22,4,1,2,50,0,1,0,2,2,100,0,4,4,2,0,0,1,2,-2,10.8
Jalen Williams,OKC,OKC vs. DET,10/30/2023,W,31,19,8,14,57.1,1,3,33.3,2,2,100,0,7,7,6,1,1,2,2,13,40.4
Goga Bitadze,ORL,ORL @ LAL,10/30/2023,L,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,5,0
Joe Ingles,ORL,ORL @ LAL,10/30/2023,L,12,2,1,2,50,0,0,-,0,0,-,1,0,1,3,2,0,1,2,-2,12.7
Moritz Wagner,ORL,ORL @ LAL,10/30/2023,L,11,5,2,5,40,0,1,0,1,2,50,1,0,1,0,0,0,1,2,-10,5.2
Cole Anthony,ORL,ORL @ LAL,10/30/2023,L,21,12,4,12,33.3,1,3,33.3,3,4,75,0,3,3,2,3,0,1,2,-9,26.6
Jonathan Isaac,ORL,ORL @ LAL,10/30/2023,L,11,3,1,3,33.3,1,3,33.3,0,0,-,0,3,3,0,1,0,0,1,-1,9.6
Gary Harris,ORL,ORL @ LAL,10/30/2023,L,21,17,6,6,100,5,5,100,0,0,-,1,2,3,3,0,0,3,0,4,22.1
Wendell Carter Jr.,ORL,ORL @ LAL,10/30/2023,L,35,10,4,8,50,1,3,33.3,1,2,50,2,6,8,1,0,1,0,4,2,24.1
Paolo Banchero,ORL,ORL @ LAL,10/30/2023,L,30,9,4,14,28.6,1,5,20,0,2,0,1,4,5,5,0,0,2,3,-12,20.5
Markelle Fultz,ORL,ORL @ LAL,10/30/2023,L,33,14,7,16,43.8,0,1,0,0,0,-,1,3,4,8,1,2,1,2,0,38.8
Franz Wagner,ORL,ORL @ LAL,10/30/2023,L,37,16,5,17,29.4,2,7,28.6,4,4,100,2,6,8,4,2,0,2,4,-2,35.6
Jalen Suggs,ORL,ORL @ LAL,10/30/2023,L,26,15,4,12,33.3,3,7,42.9,4,4,100,3,5,8,2,1,0,0,2,10,30.6
Scoot Henderson,POR,POR @ TOR,10/30/2023,W,34,11,4,12,33.3,0,6,0,3,4,75,0,4,4,7,2,0,4,6,1,28.3
Matisse Thybulle,POR,POR @ TOR,10/30/2023,W,19,9,3,4,75,3,4,75,0,0,-,0,0,0,2,0,0,0,1,-5,12
Deandre Ayton,POR,POR @ TOR,10/30/2023,W,32,10,5,9,55.6,0,0,-,0,0,-,7,16,23,2,1,2,1,1,7,48.6
Jerami Grant,POR,POR @ TOR,10/30/2023,W,37,22,8,18,44.4,2,8,25,4,4,100,1,5,6,0,1,1,2,2,8,33.2
Malcolm Brogdon,POR,POR @ TOR,10/30/2023,W,29,21,9,21,42.9,3,7,42.9,0,1,0,1,2,3,5,0,0,1,2,9,31.1
Toumani Camara,POR,POR @ TOR,10/30/2023,W,23,3,1,4,25,0,2,0,1,2,50,2,5,7,0,0,1,1,2,12,13.4
Jabari Walker,POR,POR @ TOR,10/30/2023,W,16,4,2,3,66.7,0,0,-,0,0,-,0,3,3,0,0,1,1,2,1,9.6
Shaedon Sharpe,POR,POR @ TOR,10/30/2023,W,38,14,4,10,40,2,5,40,4,4,100,2,3,5,3,1,2,4,3,4,29.5
Skylar Mays,POR,POR @ TOR,10/30/2023,W,11,5,2,4,50,1,3,33.3,0,0,-,0,0,0,1,1,0,0,0,3,9.5
Malachi Flynn,TOR,TOR vs. POR,10/30/2023,L,15,6,3,5,60,0,2,0,0,0,-,0,1,1,0,1,0,1,1,-9,9.2
Jalen McDaniels,TOR,TOR vs. POR,10/30/2023,L,5,0,0,1,0,0,1,0,0,0,-,0,0,0,1,0,0,0,1,-4,1.5
Gary Trent Jr.,TOR,TOR vs. POR,10/30/2023,L,19,3,1,7,14.3,0,1,0,1,3,33.3,0,1,1,2,1,0,0,2,-10,10.2
Chris Boucher,TOR,TOR vs. POR,10/30/2023,L,17,4,1,4,25,0,0,-,2,2,100,3,4,7,1,0,1,1,2,-3,15.9
Pascal Siakam,TOR,TOR vs. POR,10/30/2023,L,35,20,9,21,42.9,0,6,0,2,3,66.7,1,5,6,3,1,0,0,1,-2,34.7
Jakob Poeltl,TOR,TOR vs. POR,10/30/2023,L,28,14,6,8,75,0,0,-,2,3,66.7,5,5,10,1,0,1,2,3,-5,28.5
